Accuracy,Loss
0.875,0.32970336079597473
0.8125,0.6075741052627563
0.9375,0.140531986951828
0.9375,0.2410995364189148
0.875,0.5849617719650269
0.9375,0.31862810254096985
0.9375,0.2255614697933197
0.75,0.3989935517311096
1.0,0.1518479883670807
1.0,0.09293022751808167
0.9375,0.22090010344982147
0.875,0.3604689836502075
1.0,0.07033424079418182
1.0,0.1030060276389122
0.875,0.2657959461212158
1.0,0.04008789360523224
0.8125,0.41580745577812195
1.0,0.04022909700870514
0.875,0.36191242933273315
0.875,0.38878870010375977
0.9375,0.12765729427337646
1.0,0.08579140156507492
0.9375,0.2243485003709793
1.0,0.08942566812038422
1.0,0.07909747958183289
0.875,0.36472949385643005
0.75,0.542510986328125
0.9375,0.28327131271362305
1.0,0.02766874060034752
0.9375,0.3625829517841339
1.0,0.1262294352054596
1.0,0.06111728399991989
0.875,0.20412050187587738
0.875,0.22425271570682526
0.8125,0.4667906165122986
0.9375,0.18880398571491241
1.0,0.0845409408211708
1.0,0.08227408677339554
1.0,0.032438650727272034
1.0,0.08588328957557678
0.9375,0.15134231746196747
0.9375,0.17803065478801727
0.9375,0.28016483783721924
1.0,0.051970936357975006
0.75,0.5871609449386597
0.875,0.38281187415122986
1.0,0.09601153433322906
0.875,0.14575952291488647
0.9375,0.15499663352966309
1.0,0.1316019743680954
0.9375,0.20560556650161743
1.0,0.05984996631741524
0.9375,0.13010014593601227
1.0,0.11182134598493576
0.9375,0.17994073033332825
1.0,0.14230339229106903
0.9375,0.20895637571811676
0.875,0.45668545365333557
0.8125,0.8116090297698975
1.0,0.10695374757051468
0.9375,0.22299352288246155
1.0,0.026543600484728813
0.9375,0.1224663034081459
0.9375,0.2133462280035019
1.0,0.1346474140882492
1.0,0.08549279719591141
1.0,0.07258063554763794
1.0,0.08750087767839432
1.0,0.09077155590057373
0.9375,0.2692089378833771
0.9375,0.1710880994796753
1.0,0.13920283317565918
0.9375,0.13141609728336334
0.9375,0.11890876293182373
0.9375,0.21756716072559357
0.9375,0.07328864932060242
0.9375,0.42788761854171753
0.8125,0.5894447565078735
0.875,0.1699792742729187
0.9375,0.1570320725440979
1.0,0.12493216246366501
1.0,0.056582193821668625
1.0,0.061135150492191315
0.875,0.2267604023218155
1.0,0.07701605558395386
0.875,0.45531126856803894
0.9375,0.12739744782447815
1.0,0.09825572371482849
1.0,0.13187557458877563
1.0,0.1629849374294281
1.0,0.16363658010959625
1.0,0.14343972504138947
0.875,0.19110459089279175
1.0,0.056892529129981995
1.0,0.0811639279127121
1.0,0.07379718869924545
1.0,0.1029544472694397
0.9375,0.10095903277397156
1.0,0.09534380584955215
0.75,0.6742890477180481
1.0,0.043729037046432495
1.0,0.07651307433843613
1.0,0.061797257512807846
1.0,0.04498123377561569
0.9375,0.20395272970199585
1.0,0.08051159977912903
1.0,0.06947044283151627
0.9375,0.14704503118991852
0.9375,0.1029246374964714
1.0,0.07715775072574615
1.0,0.07905533164739609
1.0,0.06716702878475189
0.9375,0.12566393613815308
0.9375,0.08054428547620773
0.875,0.2623390257358551
1.0,0.08312046527862549
0.9375,0.14653842151165009
0.9375,0.08979009836912155
0.875,0.30990445613861084
1.0,0.018489912152290344
1.0,0.0696914941072464
1.0,0.07620927691459656
1.0,0.01866898499429226
0.9375,0.25599920749664307
1.0,0.033889930695295334
0.9375,0.12293293327093124
1.0,0.04818223789334297
1.0,0.016935721039772034
1.0,0.03680381178855896
1.0,0.04843652620911598
0.875,0.1737864464521408
1.0,0.08544319868087769
0.8125,0.45637941360473633
1.0,0.07346843183040619
1.0,0.12110699713230133
1.0,0.07627370208501816
1.0,0.06969496607780457
1.0,0.025438785552978516
1.0,0.0673137828707695
1.0,0.014572268351912498
1.0,0.050827451050281525
1.0,0.07063977420330048
1.0,0.09725114703178406
1.0,0.06806634366512299
1.0,0.07489544153213501
1.0,0.032841071486473083
0.9375,0.1525639295578003
0.9375,0.16017776727676392
0.9375,0.19311603903770447
1.0,0.03715454041957855
1.0,0.08582243323326111
1.0,0.04930703341960907
1.0,0.036542318761348724
1.0,0.030625836923718452
1.0,0.037561021745204926
1.0,0.02064649760723114
0.9375,0.13998176157474518
0.9375,0.08010143041610718
1.0,0.036555223166942596
1.0,0.10295495390892029
0.9375,0.13386616110801697
1.0,0.07010611146688461
1.0,0.058395564556121826
1.0,0.04424436017870903
1.0,0.09662514179944992
1.0,0.011506990529596806
1.0,0.022959820926189423
1.0,0.05115187540650368
0.9375,0.5096997022628784
0.9375,0.098451167345047
1.0,0.08864033967256546
1.0,0.0758415162563324
1.0,0.019221441820263863
0.9375,0.15338531136512756
0.9375,0.27436599135398865
1.0,0.050727225840091705
0.875,0.329561710357666
0.875,0.19181381165981293
1.0,0.007887070998549461
1.0,0.0404907763004303
1.0,0.04866189882159233
0.9375,0.11507555842399597
1.0,0.015342706814408302
1.0,0.029226787388324738
1.0,0.09237344563007355
1.0,0.030939467251300812
1.0,0.02124151401221752
0.875,0.5426564812660217
1.0,0.0944485068321228
0.9375,0.1001129150390625
0.9375,0.11102649569511414
1.0,0.06049644201993942
0.9375,0.20425748825073242
1.0,0.08076345920562744
1.0,0.01790503039956093
0.9375,0.2030775547027588
1.0,0.00882626697421074
1.0,0.02868065796792507
1.0,0.07736341655254364
0.9375,0.2472856640815735
0.9375,0.13277000188827515
1.0,0.0577472485601902
1.0,0.032568298280239105
0.9375,0.11165858060121536
1.0,0.03368395194411278
0.9375,0.16894210875034332
1.0,0.08342207223176956
0.9375,0.18038879334926605
